"id","pair_id","close_date","open_date","high_date","low_date","open","close","low","high","current_price","ema200","histogram_macd","rsi","macd","signal_macd","volume","avg_volume","code"
"457","22",NULL,"2017-08-14 00:00:00",NULL,NULL,"4261.48","4086.29","3850","4485.39",NULL,"0","0","0","0","0","12021576.48265154","0","1502668800000"
"458","22",NULL,"2017-08-21 00:00:00",NULL,NULL,"4069.13","4310.01","3400","4453.91",NULL,"0","0","0","0","0","18978983.50987317","0","1503273600000"
"459","22",NULL,"2017-08-28 00:00:00",NULL,NULL,"4310.01","4509.08","4124.54","4939.19",NULL,"0","0","0","0","0","21581679.92866748","0","1503878400000"
"460","22",NULL,"2017-09-04 00:00:00",NULL,NULL,"4505","4130.37","3603","4788.59",NULL,"0","0","0","0","0","27307824.36893929","0","1504483200000"
"461","22",NULL,"2017-09-11 00:00:00",NULL,NULL,"4153.62","3699.99","2817","4394.59",NULL,"0","0","0","0","0","30026796.42861788","0","1505088000000"
"462","22",NULL,"2017-09-18 00:00:00",NULL,NULL,"3690","3660.02","3505.55","4123.2",NULL,"0","0","0","0","0","22501242.65454204","0","1505692800000"
"463","22",NULL,"2017-09-25 00:00:00",NULL,NULL,"3660.02","4378.48","3653.69","4406.52",NULL,"0","0","0","0","0","23750419.76839855","0","1506297600000"
"464","22",NULL,"2017-10-02 00:00:00",NULL,NULL,"4400","4640","4110","4658",NULL,"0","0","0","0","0","20366578.25125568","0","1506902400000"
"465","22",NULL,"2017-10-09 00:00:00",NULL,NULL,"4640","5709.99","4550","5922.3",NULL,"0","0","0","0","0","42038755.95644524","0","1507507200000"
"466","22",NULL,"2017-10-16 00:00:00",NULL,NULL,"5710","5950.02","5037.95","6171",NULL,"0","0","0","0","0","69446644.86619961","0","1508112000000"
"467","22",NULL,"2017-10-23 00:00:00",NULL,NULL,"5975","6169.98","5286.98","6189.88",NULL,"0","0","0","0","0","75229774.73890872","0","1508716800000"
"468","22",NULL,"2017-10-30 00:00:00",NULL,NULL,"6133.01","7345.01","6030","7590.25",NULL,"0","0","0","0","0","79517426.5391578","0","1509321600000"
"469","22",NULL,"2017-11-06 00:00:00",NULL,NULL,"7345.1","5811.03","5325.01","7770.02",NULL,"0","0","0","0","0","126612916.75463176","0","1509926400000"
"470","22",NULL,"2017-11-13 00:00:00",NULL,NULL,"5839.94","8038","5699.99","8123.15",NULL,"0","0","0","0","0","146293856.48316985","0","1510531200000"
"471","22",NULL,"2017-11-20 00:00:00",NULL,NULL,"8057.11","9128.02","7801","9350",NULL,"0","0","75.703","0","0","240238717.93883663","67420829.871","1511136000000"
"472","22",NULL,"2017-11-27 00:00:00",NULL,NULL,"9128","11165.41","8520","11825",NULL,"0","0","79.495","0","0","493261876.5247408","101298179.372","1511740800000"
"473","22",NULL,"2017-12-04 00:00:00",NULL,NULL,"11165.41","14899.98","10802","17204.99",NULL,"0","0","84.278","0","0","1022228203.7964908","172772931.076","1512345600000"
"474","22",NULL,"2017-12-11 00:00:00",NULL,NULL,"14946.26","18860.02","14666.56","19798.68",NULL,"0","0","89.304","0","0","1143594375.3765807","252507684.72","1512950400000"
"475","22",NULL,"2017-12-18 00:00:00",NULL,NULL,"18860.04","13500","10961","19300",NULL,"0","0","70.703","0","0","1998479799.1145618","393111470.626","1513555200000"
"476","22",NULL,"2017-12-25 00:00:00",NULL,NULL,"13500","13716.36","11750","16498.05",NULL,"0","0","71.087","0","0","1636613418.3316479","508405197.46","1514160000000"
"477","22",NULL,"2018-01-01 00:00:00",NULL,NULL,"13715.65","16150.03","12750","17176.24",NULL,"0","0","73.028","0","0","1828148890.854119","637290802.538","1514764800000"
"478","22",NULL,"2018-01-08 00:00:00",NULL,NULL,"16218.85","13474.99","11400","16322.3",NULL,"0","0","65.792","0","0","1919927016.0206213","772973690.95","1515369600000"
"479","22",NULL,"2018-01-15 00:00:00",NULL,NULL,"13477.98","11530","9035","14249.99",NULL,"0","0","60.087","0","0","3434833014.703798","1015316138.003","1515974400000"
"480","22",NULL,"2018-01-22 00:00:00",NULL,NULL,"11530","11879.95","9900.24","12244",NULL,"0","0","60.239","0","0","2184045152.496221","1166358888.548","1516579200000"
"481","22",NULL,"2018-01-29 00:00:00",NULL,NULL,"11879.95","8184.81","7930","11975.02",NULL,"0","0","53.106","0","0","1896352538.6706731","1296439085.972","1517184000000"
"482","22",NULL,"2018-02-05 00:00:00",NULL,NULL,"8179.99","8063.88","6000.01","9065.78",NULL,"0","0","51.145","0","0","2608962030.9285064","1477113700.571","1517788800000"
"483","22",NULL,"2018-02-12 00:00:00",NULL,NULL,"8063.82","10383.43","8053","11274",NULL,"0","0","57.108","0","0","3026660454.8544908","1684259953.292","1518393600000"
"484","22",NULL,"2018-02-19 00:00:00",NULL,NULL,"10375.01","9590","9274.8","11786.01",NULL,"0","0","52.525","0","0","3657589238.5328994","1935066766.296","1518998400000"
"485","22",NULL,"2018-02-26 00:00:00",NULL,NULL,"9590","11515","9350","11565",NULL,"0","0","53.781","0","0","1967477246.427072","2058440946.902","1519603200000"
"486","22",NULL,"2018-03-05 00:00:00",NULL,NULL,"11515","9533.57","8329","11710",NULL,"0","0","47.411","0","0","2719942892.647309","2217489590.911","1520208000000"
"487","22",NULL,"2018-03-12 00:00:00",NULL,NULL,"9533.57","8189.99","7322","9888.88",NULL,"0","0","38.478","0","0","2657745291.1090126","2334312240.005","1520812800000"
"488","22",NULL,"2018-03-19 00:00:00",NULL,NULL,"8189","8470.15","8088.4","9177.01",NULL,"0","0","29.579","0","0","2464528929.914906","2428664708.186","1521417600000"
"489","22",NULL,"2018-03-26 00:00:00",NULL,NULL,"8470.14","6813.01","6430","8514.89",NULL,"0","0","34.618","0","0","2276980709.5920525","2448557630.363","1522022400000"
"490","22",NULL,"2018-04-02 00:00:00",NULL,NULL,"6813.01","7018","6500","7520",NULL,"0","0","34.584","0","0","1616723766.0660725","2447136940.916","1522627200000"
"491","22",NULL,"2018-04-09 00:00:00",NULL,NULL,"7011.04","8355","6611","8429.54",NULL,"0","-1321.113","31.106","723.327","2044.44","1959208437.5356402","2456498337.107","1523232000000"
"492","22",NULL,"2018-04-16 00:00:00",NULL,NULL,"8355.07","8787.02","7825.4","9035",NULL,"0","-1134.969","37.251","625.729","1760.698","1952372499.3863933","2458815871.633","1523836800000"
"493","22",NULL,"2018-04-23 00:00:00",NULL,NULL,"8785.7","9419","8651.62","9759.82",NULL,"0","-934.521","43.817","592.546","1527.068","2812613536.4815593","2414371623.189","1524441600000"
"494","22",NULL,"2018-04-30 00:00:00",NULL,NULL,"9417.04","9659.01","8800.49","10020",NULL,"0","-758.5","43.453","578.942","1337.442","2089890919.300103","2407646320.818","1525046400000"
"495","22",NULL,"2018-05-07 00:00:00",NULL,NULL,"9661.02","8679.71","8153","9689.67",NULL,"0","-683.102","51.737","483.565","1166.667","1995981257.4347427","2414762657.872","1525651200000"
"496","22",NULL,"2018-05-14 00:00:00",NULL,NULL,"8679.71","8526.98","7911.9","8879.99",NULL,"0","-620.417","51.622","391.146","1011.563","1528659945.0791533","2337598223.169","1526256000000"
"497","22",NULL,"2018-05-21 00:00:00",NULL,NULL,"8526.97","7338.99","7231.11","8595.31",NULL,"0","-633.641","38.421","219.511","853.152","1473706966.3342865","2226672973.989","1526860800000"
"498","22",NULL,"2018-05-28 00:00:00",NULL,NULL,"7338.99","7714.26","7032.95","7786.69",NULL,"0","-592.543","42.632","112.474","705.017","1580400448.7295191","2078302346.146","1527465600000"
"499","22",NULL,"2018-06-04 00:00:00",NULL,NULL,"7714.26","6764.99","6622.81","7765",NULL,"0","-602.729","29.792","-48.394","554.335","1574558979.8373327","2050236755.675","1528070400000"
"500","22",NULL,"2018-06-11 00:00:00",NULL,NULL,"6765","6449.61","6118.68","6922",NULL,"0","-602.697","34.713","-199.037","403.66","1532387822.7080858","1965411393.536","1528675200000"
"501","22",NULL,"2018-06-18 00:00:00",NULL,NULL,"6444.06","6136.97","5750","6841.74",NULL,"0","-594.715","38.665","-339.734","254.981","1493387501.4582708","1882242979.99","1529280000000"
"502","22",NULL,"2018-06-25 00:00:00",NULL,NULL,"6137.95","6356.81","5780","6528.99",NULL,"0","-546.832","38.253","-428.558","118.274","1282960927.4924057","1797845265.531","1529884800000"
"503","22",NULL,"2018-07-02 00:00:00",NULL,NULL,"6360.82","6712.1","6271.62","6818.16",NULL,"0","-466.557","49.344","-464.923","1.634","1393368254.076007","1734730090.137","1530489600000"
"504","22",NULL,"2018-07-09 00:00:00",NULL,NULL,"6712.1","6353.01","6070","6802.06",NULL,"0","-414.717","45.763","-516.762","-102.045","1225870847.4731443","1706812024.523","1531094400000"
"505","22",NULL,"2018-07-16 00:00:00",NULL,NULL,"6354.15","7394.79","6330.4","7700",NULL,"0","-293.07","43.643","-468.382","-175.312","2128249956.9973235","1718886418.771","1531699200000"
"506","22",NULL,"2018-07-23 00:00:00",NULL,NULL,"7394.78","8211","7375","8491.77",NULL,"0","-147.773","46.371","-360.029","-212.256","2332298260.5844717","1746023973.142","1532304000000"
"507","22",NULL,"2018-07-30 00:00:00",NULL,NULL,"8210.99","7024.19","6882.29","8273",NULL,"8295.396","-122.762","35.899","-365.709","-242.946","2132225331.2656577","1697424815.626","1532908800000"
"508","22",NULL,"2018-08-06 00:00:00",NULL,NULL,"7024.19","6308.33","5971","7160",NULL,"8217.472","-144.12","31.318","-423.096","-278.976","2169762287.5202613","1703129913.356","1533513600000"
"509","22",NULL,"2018-08-13 00:00:00",NULL,NULL,"6308.56","6477.53","5880","6620",NULL,"8149.239","-136.61","36.502","-449.739","-313.129","2401304850.578152","1732081598.581","1534118400000"
"510","22",NULL,"2018-08-20 00:00:00",NULL,NULL,"6477.53","6700","6220","6882.54",NULL,"8092.406","-107.69","38.897","-447.741","-340.051","1870078552.6344426","1756468641.978","1534723200000"
"511","22",NULL,"2018-08-27 00:00:00",NULL,NULL,"6700","7302.01","6646.5","7345.45",NULL,"8061.41","-42.399","49.758","-393.05","-350.651","2064905776.219665","1798697128.398","1535328000000"
"512","22",NULL,"2018-09-03 00:00:00",NULL,NULL,"7302","6250.81","6111","7410",NULL,"7990.406","-63.141","41.202","-429.578","-366.436","2060238359.3451552","1832971264.871","1535932800000"
"513","22",NULL,"2018-09-10 00:00:00",NULL,NULL,"6252.26","6505","6169.68","6584.99",NULL,"7932.155","-53.27","48.294","-433.024","-379.754","1455546755.8541198","1824470391.729","1536537600000"
"514","22",NULL,"2018-09-17 00:00:00",NULL,NULL,"6500.08","6708","6123","6839.03",NULL,"7884.149","-27.873","51.72","-414.595","-386.722","1590443498.5932746","1828617225.721","1537142400000"
"515","22",NULL,"2018-09-24 00:00:00",NULL,NULL,"6706.81","6626.57","6325.02","6814.8",NULL,"7834.832","-12.164","53.363","-401.927","-389.763","1592066012.4053094","1835665690.789","1537747200000"
"516","22",NULL,"2018-10-01 00:00:00",NULL,NULL,"6626.57","6615.26","6430","6697",NULL,"7787.006","1.151","51.828","-388.325","-389.475","931813926.7749727","1810583762.166","1538352000000"
"517","22",NULL,"2018-10-08 00:00:00",NULL,NULL,"6615.26","6339.34","6205","6715.6",NULL,"7730.235","-4.622","47.334","-395.253","-390.631","1068868812.2791338","1787405230.609","1538956800000"
"518","22",NULL,"2018-10-15 00:00:00",NULL,NULL,"6339.34","6590.11","6300","7680",NULL,"7685.524","11.567","51.723","-376.172","-387.739","1434684785.8510528","1802320511.922","1539561600000"
"519","22",NULL,"2018-10-22 00:00:00",NULL,NULL,"6590.12","6489.93","6453","6639",NULL,"7638.638","18.25","42.384","-364.927","-383.177","494030438.14773756","1685590546.29","1540166400000"
"520","22",NULL,"2018-10-29 00:00:00",NULL,NULL,"6489.93","6485.85","6245.02","6525",NULL,"7593.431","24.714","33.181","-352.284","-376.998","459573574.67943704","1551824497.296","1540771200000"
"521","22",NULL,"2018-11-05 00:00:00",NULL,NULL,"6485.85","6449.81","6355","6615.15",NULL,"7548.583","28.608","42.78","-341.239","-369.846","494186439.10114735","1434821719.285","1541376000000"
"522","22",NULL,"2018-11-12 00:00:00",NULL,NULL,"6450.71","5662","5403.42","6498",NULL,"7474.599","-17.356","42.02","-391.542","-374.185","1193362837.9036088","1365078901.455","1541980800000"
"523","22",NULL,"2018-11-19 00:00:00",NULL,NULL,"5661.94","4085.78","3652.66","5664",NULL,"7341.704","-142.435","28.084","-552.229","-409.794","2227689691.7363706","1352677818.68","1542585600000"
"524","22",NULL,"2018-11-26 00:00:00",NULL,NULL,"4088.69","4161.01","3689.12","4450.38",NULL,"7216.971","-204.828","26.09","-665.829","-461.001","1958210804.8945973","1358972979.556","1543190400000"
"525","22",NULL,"2018-12-03 00:00:00",NULL,NULL,"4160.55","3545.37","3222","4179",NULL,"7072.987","-268.283","14.713","-796.355","-528.072","1482749121.2938979","1317390361.347","1543795200000"
